respondent_id,variant,answer_a,answer_b,answer_c,answer_d,answer_e,completion_minutes
1,A,Not at all interested,Yes,No,Yes,Credit card,13.2
2,A,Somewhat interested,Yes,No,Yes,Debit card,11.4
3,A,Somewhat interested,No,Yes,No,Debit card,8.7
4,A,Somewhat interested,Yes,No,Yes,Debit card,18.5
5,A,Somewhat interested,Yes,No,Yes,Credit card,16.1
6,A,Slightly interested,Yes,No,Yes,Credit card,7.0
7,A,Not at all interested,Yes,No,Yes,Debit card,12.3
8,A,Not at all interested,No,Yes,No,Debit card,20.1
9,A,Very interested,Yes,No,Yes,Debit card,14.3
10,A,Very interested,Yes,No,Yes,BNPL,2.8
11,A,Not at all interested,No,Yes,No,Cash,16.0
12,A,Somewhat interested,Yes,No,Yes,Cash,12.2
13,A,Somewhat interested,Yes,No,Yes,Cash,5.3
14,A,Somewhat interested,Yes,No,Yes,Cash,17.6
15,A,Not at all interested,Yes,No,Yes,Credit card,8.9
16,A,Somewhat interested,Yes,No,Yes,Debit card,8.1
17,A,Somewhat interested,No,Yes,No,Debit card,17.2
18,A,Somewhat interested,Yes,No,Yes,Debit card,8.7
19,A,Somewhat interested,Yes,No,Yes,Credit card,3.3
20,A,Slightly interested,Yes,No,Yes,Credit card,17.8
21,A,Not at all interested,Yes,No,Yes,Debit card,8.6
22,A,Not at all interested,No,No,No,Debit card,7.0
23,A,Very interested,Yes,No,Yes,Debit card,13.6
24,A,Very interested,No,No,No,BNPL,10.4
25,A,Somewhat interested,No,Yes,No,Cash,1.6
26,A,Slightly interested,Yes,No,Yes,Cash,13.9
27,A,Not at all interested,Yes,No,Yes,Cash,21.0
28,A,Not at all interested,No,Yes,No,Cash,12.9
29,A,Somewhat interested,Yes,No,Yes,Credit card,17.1
30,A,Somewhat interested,Yes,No,Yes,Debit card,16.0
31,A,Somewhat interested,Yes,No,Yes,Debit card,16.7
32,A,Somewhat interested,Yes,No,Yes,Debit card,6.9
33,A,Slightly interested,No,Yes,No,Credit card,11.7
34,A,Not at all interested,Yes,No,No,Credit card,18.1
35,A,Not at all interested,Yes,No,Yes,Debit card,6.6
36,A,Very interested,No,No,Yes,Debit card,18.7
37,A,Very interested,Yes,No,Yes,Debit card,11.5
38,A,Very interested,Yes,No,Yes,BNPL,3.1
39,A,Very interested,Yes,No,Yes,Cash,18.0
40,A,Not at all interested,Yes,Yes,Yes,Cash,11.6
41,A,Somewhat interested,Yes,No,Yes,Cash,20.7
42,A,Somewhat interested,No,No,No,Cash,10.2
43,A,Somewhat interested,Yes,No,Yes,Credit card,18.6
44,A,Somewhat interested,Yes,No,Yes,Debit card,7.4
45,A,Slightly interested,Yes,No,Yes,Debit card,12.6
46,A,Not at all interested,Yes,No,Yes,Debit card,8.3
47,A,Not at all interested,No,Yes,No,Credit card,15.0
48,A,Somewhat interested,Yes,No,Yes,Credit card,8.2
49,A,Somewhat interested,Yes,No,Yes,Debit card,17.6
50,A,Somewhat interested,Yes,No,Yes,Debit card,13.1
51,A,Somewhat interested,Yes,No,Yes,Debit card,4.8
52,A,Slightly interested,No,Yes,No,BNPL,19.6
53,A,Not at all interested,Yes,No,Yes,Cash,13.1
54,A,Not at all interested,Yes,No,Yes,Cash,6.9
55,A,Not at all interested,No,No,Yes,Cash,3.6
56,A,Somewhat interested,Yes,No,Yes,Cash,18.8
57,A,Somewhat interested,Yes,No,Yes,Debit card,21.3
58,A,Somewhat interested,Yes,Yes,Yes,BNPL,13.4
59,A,Somewhat interested,Yes,No,Yes,Cash,7.6
60,A,Slightly interested,Yes,No,Yes,Cash,9.6
61,A,Not at all interested,No,Yes,No,Cash,19.5
62,A,Not at all interested,Yes,No,Yes,Cash,10.9
63,A,Somewhat interested,Yes,No,Yes,Credit card,7.6
